taking medicine with Kevin on the 4th from 3pm to 4pm	schedule ( title = taking medicine with Kevin ; date = 4th ; start-time = 3pm ; end-time = 4pm )
zoom with Jeffrey on the 22nd from 6am to 7am	schedule ( title = zoom with Jeffrey ; date = 22nd ; start-time = 6am ; end-time = 7am )
trip with George on the 9th from 2am to 3am	schedule ( title = trip with George ; date = 9th ; start-time = 2am ; end-time = 3am )
dentist appointment with Ava on the 4th from 2am to 3am	schedule ( title = dentist appointment with Ava ; date = 4th ; start-time = 2am ; end-time = 3am )
meeting with Alexander on the 30th from 12pm to 1pm	schedule ( title = meeting with Alexander ; date = 30th ; start-time = 12pm ; end-time = 1pm )
zoom with George on the 28th from 5pm to 6pm	schedule ( title = zoom with George ; date = 28th ; start-time = 5pm ; end-time = 6pm )
flight with James on the 15th from 2pm to 3pm	schedule ( title = flight with James ; date = 15th ; start-time = 2pm ; end-time = 3pm )
taking medicine with Oliver on the 20th from 5pm to 6pm	schedule ( title = taking medicine with Oliver ; date = 20th ; start-time = 5pm ; end-time = 6pm )
dinner with Linda on the 26th from 8am to 9am	schedule ( title = dinner with Linda ; date = 26th ; start-time = 8am ; end-time = 9am )
lab appointment with sister on the 18th from 10am to 11am	schedule ( title = lab appointment with sister ; date = 18th ; start-time = 10am ; end-time = 11am )
meeting with Isabella on the 5th from 5pm to 6pm	schedule ( title = meeting with Isabella ; date = 5th ; start-time = 5pm ; end-time = 6pm )
dentist appointment with James on the 31st from 2am to 3am	schedule ( title = dentist appointment with James ; date = 31st ; start-time = 2am ; end-time = 3am )
yoga activity with Ashley on the 29th from 2am to 3am	schedule ( title = yoga activity with Ashley ; date = 29th ; start-time = 2am ; end-time = 3am )
taking medicine with Amelia on the 14th from 11am to 12am	schedule ( title = taking medicine with Amelia ; date = 14th ; start-time = 11am ; end-time = 12am )
dentist appointment with Robert on the 26th from 3pm to 4pm	schedule ( title = dentist appointment with Robert ; date = 26th ; start-time = 3pm ; end-time = 4pm )
dinner with Emma on the 24th from 5am to 6am	schedule ( title = dinner with Emma ; date = 24th ; start-time = 5am ; end-time = 6am )
playing football with Sophia on the 26th from 2am to 3am	schedule ( title = playing football with Sophia ; date = 26th ; start-time = 2am ; end-time = 3am )
trip with Brian on the 24th from 10pm to 11pm	schedule ( title = trip with Brian ; date = 24th ; start-time = 10pm ; end-time = 11pm )
taking medicine with  on the 24th from 6am to 7am	schedule ( title = taking medicine with  ; date = 24th ; start-time = 6am ; end-time = 7am )
dentist appointment with Olivia on the 3rd from 5pm to 6pm	schedule ( title = dentist appointment with Olivia ; date = 3rd ; start-time = 5pm ; end-time = 6pm )
dentist appointment with Justin on the 9th from 1am to 2am	schedule ( title = dentist appointment with Justin ; date = 9th ; start-time = 1am ; end-time = 2am )
lunch with James on the 31st from 6pm to 7pm	schedule ( title = lunch with James ; date = 31st ; start-time = 6pm ; end-time = 7pm )
zoom with Gary on the 9th from 8pm to 9pm	schedule ( title = zoom with Gary ; date = 9th ; start-time = 8pm ; end-time = 9pm )
conference with Charlotte on the 23rd from 1pm to 2pm	schedule ( title = conference with Charlotte ; date = 23rd ; start-time = 1pm ; end-time = 2pm )
dinner with Jennifer on the 18th from 5am to 6am	schedule ( title = dinner with Jennifer ; date = 18th ; start-time = 5am ; end-time = 6am )
interview with Scott on the 5th from 10am to 11am	schedule ( title = interview with Scott ; date = 5th ; start-time = 10am ; end-time = 11am )
lunch with David on the 31st from 3am to 4am	schedule ( title = lunch with David ; date = 31st ; start-time = 3am ; end-time = 4am )
optometrist appointment with Scott on the 14th from 6am to 7am	schedule ( title = optometrist appointment with Scott ; date = 14th ; start-time = 6am ; end-time = 7am )
optometrist appointment with Olivia on the 2nd from 3pm to 4pm	schedule ( title = optometrist appointment with Olivia ; date = 2nd ; start-time = 3pm ; end-time = 4pm )
talk with Ava on the 10th from 10am to 11am	schedule ( title = talk with Ava ; date = 10th ; start-time = 10am ; end-time = 11am )
lunch with Barbara on the 13th from 12pm to 1pm	schedule ( title = lunch with Barbara ; date = 13th ; start-time = 12pm ; end-time = 1pm )
taking medicine with James on the 21st from 2am to 3am	schedule ( title = taking medicine with James ; date = 21st ; start-time = 2am ; end-time = 3am )
lunch with Harper on the 27th from 7pm to 8pm	schedule ( title = lunch with Harper ; date = 27th ; start-time = 7pm ; end-time = 8pm )
football activities with Noah on the 11th from 2pm to 3pm	schedule ( title = football activities with Noah ; date = 11th ; start-time = 2pm ; end-time = 3pm )
trip with Harper on the 15th from 5am to 6am	schedule ( title = trip with Harper ; date = 15th ; start-time = 5am ; end-time = 6am )
taking medicine with sister on the 21st from 11am to 12am	schedule ( title = taking medicine with sister ; date = 21st ; start-time = 11am ; end-time = 12am )
dentist appointment with Ryan on the 17th from 12pm to 1pm	schedule ( title = dentist appointment with Ryan ; date = 17th ; start-time = 12pm ; end-time = 1pm )
trip with Mia on the 19th from 6am to 7am	schedule ( title = trip with Mia ; date = 19th ; start-time = 6am ; end-time = 7am )
taking medicine with Emily on the 4th from 5pm to 6pm	schedule ( title = taking medicine with Emily ; date = 4th ; start-time = 5pm ; end-time = 6pm )
taking medicine with Ashley on the 28th from 10pm to 11pm	schedule ( title = taking medicine with Ashley ; date = 28th ; start-time = 10pm ; end-time = 11pm )
interview with Lisa on the 18th from 6pm to 7pm	schedule ( title = interview with Lisa ; date = 18th ; start-time = 6pm ; end-time = 7pm )
football activities with Oliver on the 16th from 1am to 2am	schedule ( title = football activities with Oliver ; date = 16th ; start-time = 1am ; end-time = 2am )
conference with Kevin on the 15th from 3am to 4am	schedule ( title = conference with Kevin ; date = 15th ; start-time = 3am ; end-time = 4am )
taking medicine with Ryan on the 31st from 12am to 1am	schedule ( title = taking medicine with Ryan ; date = 31st ; start-time = 12am ; end-time = 1am )
yoga activity with Scott on the 30th from 8am to 9am	schedule ( title = yoga activity with Scott ; date = 30th ; start-time = 8am ; end-time = 9am )
lab appointment with Gary on the 6th from 10pm to 11pm	schedule ( title = lab appointment with Gary ; date = 6th ; start-time = 10pm ; end-time = 11pm )
meeting with William on the 15th from 8pm to 9pm	schedule ( title = meeting with William ; date = 15th ; start-time = 8pm ; end-time = 9pm )
trip with Alexander on the 25th from 11am to 12am	schedule ( title = trip with Alexander ; date = 25th ; start-time = 11am ; end-time = 12am )
interview with William on the 5th from 12am to 1am	schedule ( title = interview with William ; date = 5th ; start-time = 12am ; end-time = 1am )
taking medicine with James on the 21st from 1pm to 2pm	schedule ( title = taking medicine with James ; date = 21st ; start-time = 1pm ; end-time = 2pm )
optometrist appointment with James on the 16th from 7pm to 8pm	schedule ( title = optometrist appointment with James ; date = 16th ; start-time = 7pm ; end-time = 8pm )
meeting with Kevin on the 26th from 6am to 7am	schedule ( title = meeting with Kevin ; date = 26th ; start-time = 6am ; end-time = 7am )
playing football with Isabella on the 5th from 6am to 7am	schedule ( title = playing football with Isabella ; date = 5th ; start-time = 6am ; end-time = 7am )
zoom with Kevin on the 18th from 10pm to 11pm	schedule ( title = zoom with Kevin ; date = 18th ; start-time = 10pm ; end-time = 11pm )
conference with Emily on the 20th from 4am to 5am	schedule ( title = conference with Emily ; date = 20th ; start-time = 4am ; end-time = 5am )
lunch with Mia on the 3rd from 1am to 2am	schedule ( title = lunch with Mia ; date = 3rd ; start-time = 1am ; end-time = 2am )
dentist appointment with William on the 8th from 2pm to 3pm	schedule ( title = dentist appointment with William ; date = 8th ; start-time = 2pm ; end-time = 3pm )
meeting with Mary on the 4th from 12am to 1am	schedule ( title = meeting with Mary ; date = 4th ; start-time = 12am ; end-time = 1am )
playing football with Charlotte on the 12th from 11pm to 12pm	schedule ( title = playing football with Charlotte ; date = 12th ; start-time = 11pm ; end-time = 12pm )
trip with Jeffrey on the 9th from 8pm to 9pm	schedule ( title = trip with Jeffrey ; date = 9th ; start-time = 8pm ; end-time = 9pm )
breakfast with Ava on the 28th from 3pm to 4pm	schedule ( title = breakfast with Ava ; date = 28th ; start-time = 3pm ; end-time = 4pm )
dinner with Mia on the 8th from 12am to 1am	schedule ( title = dinner with Mia ; date = 8th ; start-time = 12am ; end-time = 1am )
