schedule ( title = taking medicine with Kevin ; date = 4th ; start-time = 3pm ; end-time = 4pm )
schedule ( title = zoom with Jeffrey ; date = 22nd ; start-time = 6am ; end-time = 7am )
schedule ( title = trip with George ; date = 9th ; start-time = 2am ; end-time = 3am )
schedule ( title = dentist appointment with Ava ; date = 4th ; start-time = 2am ; end-time = 3am )
schedule ( title = meeting with Alexander ; date = 30th ; start-time = 12pm ; end-time = 1pm )
schedule ( title = zoom with George ; date = 28th ; start-time = 5pm ; end-time = 6pm )
schedule ( title = flight with James ; date = 15th ; start-time = 2pm ; end-time = 3pm )
schedule ( title = taking medicine with Oliver ; date = 20th ; start-time = 5pm ; end-time = 6pm )
schedule ( title = dinner with Linda ; date = 26th ; start-time = 8am ; end-time = 9am )
schedule ( title = lab appointment with sister ; date = 18th ; start-time = 10am ; end-time = 11am )
schedule ( title = meeting with Isabella ; date = 5th ; start-time = 5pm ; end-time = 6pm )
schedule ( title = dentist appointment with James ; date = 31st ; start-time = 2am ; end-time = 3am )
schedule ( title = yoga activity with Ashley ; date = 29th ; start-time = 2am ; end-time = 3am )
schedule ( title = taking medicine with Amelia ; date = 14th ; start-time = 11am ; end-time = 12am )
schedule ( title = dentist appointment with Robert ; date = 26th ; start-time = 3pm ; end-time = 4pm )
schedule ( title = dinner with Emma ; date = 24th ; start-time = 5am ; end-time = 6am )
schedule ( title = playing football with Sophia ; date = 26th ; start-time = 2am ; end-time = 3am )
schedule ( title = trip with Brian ; date = 24th ; start-time = 10pm ; end-time = 11pm )
schedule ( title = taking medicine with  ; date = 24th ; start-time = 6am ; end-time = 7am )
schedule ( title = dentist appointment with Olivia ; date = 3rd ; start-time = 5pm ; end-time = 6pm )
schedule ( title = dentist appointment with Justin ; date = 9th ; start-time = 1am ; end-time = 2am )
schedule ( title = lunch with James ; date = 31st ; start-time = 6pm ; end-time = 7pm )
schedule ( title = zoom with Gary ; date = 9th ; start-time = 8pm ; end-time = 9pm )
schedule ( title = conference with Charlotte ; date = 23rd ; start-time = 1pm ; end-time = 2pm )
schedule ( title = dinner with Jennifer ; date = 18th ; start-time = 5am ; end-time = 6am )
schedule ( title = interview with Scott ; date = 5th ; start-time = 10am ; end-time = 11am )
schedule ( title = lunch with David ; date = 31st ; start-time = 3am ; end-time = 4am )
schedule ( title = optometrist appointment with Scott ; date = 14th ; start-time = 6am ; end-time = 7am )
schedule ( title = optometrist appointment with Olivia ; date = 2nd ; start-time = 3pm ; end-time = 4pm )
schedule ( title = talk with Ava ; date = 10th ; start-time = 10am ; end-time = 11am )
schedule ( title = lunch with Barbara ; date = 13th ; start-time = 12pm ; end-time = 1pm )
schedule ( title = taking medicine with James ; date = 21st ; start-time = 2am ; end-time = 3am )
schedule ( title = lunch with Harper ; date = 27th ; start-time = 7pm ; end-time = 8pm )
schedule ( title = football activities with Noah ; date = 11th ; start-time = 2pm ; end-time = 3pm )
schedule ( title = trip with Harper ; date = 15th ; start-time = 5am ; end-time = 6am )
schedule ( title = taking medicine with sister ; date = 21st ; start-time = 11am ; end-time = 12am )
schedule ( title = dentist appointment with Ryan ; date = 17th ; start-time = 12pm ; end-time = 1pm )
schedule ( title = trip with Mia ; date = 19th ; start-time = 6am ; end-time = 7am )
schedule ( title = taking medicine with Emily ; date = 4th ; start-time = 5pm ; end-time = 6pm )
schedule ( title = taking medicine with Ashley ; date = 28th ; start-time = 10pm ; end-time = 11pm )
schedule ( title = interview with Lisa ; date = 18th ; start-time = 6pm ; end-time = 7pm )
schedule ( title = football activities with Oliver ; date = 16th ; start-time = 1am ; end-time = 2am )
schedule ( title = conference with Kevin ; date = 15th ; start-time = 3am ; end-time = 4am )
schedule ( title = taking medicine with Ryan ; date = 31st ; start-time = 12am ; end-time = 1am )
schedule ( title = yoga activity with Scott ; date = 30th ; start-time = 8am ; end-time = 9am )
schedule ( title = lab appointment with Gary ; date = 6th ; start-time = 10pm ; end-time = 11pm )
schedule ( title = meeting with William ; date = 15th ; start-time = 8pm ; end-time = 9pm )
